features,location,price
 110 m²  110 m²  1 hab.  1 baño ,"Norte de Quito, Quito",USD 95.000
 408 m²  408 m²  7 hab.  5 baños  7 estac. ,"Calderón, Quito",USD 250.000
 89 m²  89 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 76.000
 1000 m²  600 m²  4 hab.  4 baños  5 estac. ,"Cumbayá, Quito",USD 1.300.000
 1321 m²  836 m²  3 hab.  8 baños  8 estac. ,"Cumbayá, Quito",USD 1.500.000
 120 m²  120 m²  3 hab.  1 estac. ,"San Rafael, Quito",USD 100.000
 300 m²  140 m²  4 hab.  1 baño ,"Conocoto, Quito",USD 130.000
 76 m²  76 m²  3 hab.  1 baño  1 estac. ,"Sangolqui, Quito",USD 69.900
 181 m²  131 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 129.700
 384 m²  384 m²  11 hab.  5 baños ,"Norte de Quito, Quito",USD 140.000
 440 m²  440 m²  3 hab.  3 baños  3 estac. ,"Los Chillos, Quito",USD 450.000
 500 m²  500 m²  3 hab.  3 baños  5 estac. ,"Pifo, Quito",USD 498.000
 159 m²  142 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 153.000
 100 m²  100 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 86.100
 150 m²  150 m²  7 hab.  3 baños  3 estac. ,"Sur de Quito, Quito",USD 65.000
 394 m²  225 m²  4 hab.  2 baños  2 estac. ,"Sangolqui, Quito",USD 160.000
 507 m²  507 m²  5 hab.  4 baños  2 estac. ,"La Armenia, Quito",USD 190.000
 581 m²  581 m²  3 hab.  1 baño ,"Sur de Quito, Quito",USD 280.000
 186 m²  142 m²  4 hab.  3 baños  2 estac. ,"Calderón, Quito",USD 78.000
 120 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 138.000
 270 m²  270 m²  6 hab.  4 baños  5 estac. ,"Sangolqui, Quito",USD 185.000
 2200 m²  1300 m²  5 hab.  5 baños  5 estac. ,"Puembo, Quito",USD 2.900.000
 378 m²  378 m²  4 hab.  4 baños  4 estac. ,"Conocoto, Quito",USD 360.000
 387 m²  240 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 265.000
 212 m²  212 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 245.000
 95 m²  95 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 60.000
 280 m²  280 m²  3 hab.  4 baños  6 estac. ,"Cumbayá, Quito",USD 550.000
 164 m²  164 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 105.000
 410 m²  256 m²  4 hab.  3 baños  5 estac. ,"Conocoto, Quito",USD 208.000
 265 m²  225 m²  3 hab.  3 baños  3 estac. ,"Los Chillos, Quito",USD 350.000
 160 m²  160 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 79.900
 143 m²  143 m²  3 hab.  2 baños  1 estac. ,"Norte de Quito, Quito",USD 110.000
 130 m²  130 m²  3 hab.  2 baños  2 estac. ,"Pomasqui, Quito",USD 90.000
 200 m²  150 m²  3 hab.  2 baños ,"Tumbaco, Quito",USD 190.000
 130 m²  130 m²  3 hab.  3 baños ,"Sur de Quito, Quito",USD 82.000
 385 m²  385 m²  6 hab.  4 baños  4 estac. ,"Mitad del Mundo, Quito",USD 260.000
 500 m²  255 m²  5 hab.  6 baños ,"Los Chillos, Quito",USD 225.000
 561 m²  302 m²  5 hab.  5 baños  2 estac. ,"Tumbaco, Quito",USD 340.000
 567 m²  567 m²  3 hab.  3 baños ,"Nayón - Tanda, Quito",USD 559.900
 140 m²  110 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 79.500
 303 m²  240 m²  3 hab.  3 baños  3 estac. ,"Sangolqui, Quito",USD 250.000
 480 m²  480 m²  3 hab.  3 baños  7 estac. ,"Cumbayá, Quito",USD 595.000
 277 m²  277 m²  3 hab.  3 baños  3 estac. ,"Los Chillos, Quito",USD 219.000
 700 m²  700 m²  4 hab.  4 baños  10 estac. ,"Cumbayá, Quito",USD 400.000
 100 m²  100 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 95.000
 415 m²  320 m²  3 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 589.900
 196 m²  196 m²  2 hab.  3 baños  2 estac. ,"San Rafael, Quito",USD 192.856
 473 m²  473 m²  12 hab.  4 baños ,"Los Chillos, Quito",USD 115.000
 140 m²  108 m²  3 hab.  2 baños ,"Conocoto, Quito",USD 110.000
 205 m²  147 m²  3 hab.  3 baños  2 estac. ,"Pomasqui, Quito",USD 106.000
 295 m²  236 m²  4 hab.  3 baños  3 estac. ,"Centro Norte, Quito",USD 180.000
 646 m²  268 m²  3 hab.  4 baños  4 estac. ,"La Armenia, Quito",USD 270.000
 420 m²  290 m²  5 hab.  5 baños  8 estac. ,"San Rafael, Quito",USD 315.000
 205 m²  205 m²  3 hab.  2 baños  2 estac. ,"Ponceano, Quito",USD 122.000
 1120 m²  420 m²  4 hab.  5 baños  4 estac. ,"Cumbayá, Quito",USD 950.000
 156 m²  135 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 79.990
 148 m²  3 hab.  2 baños  1 estac. ,"Norte de Quito, Quito",USD 148.000
 155 m²  117 m²  3 hab.  2 baños  2 estac. ,"Conocoto, Quito",USD 109.000
 937 m²  536 m²  6 hab.  4 baños  5 estac. ,"Los Chillos, Quito",USD 770.000
 164 m²  164 m²  3 hab.  2 baños  2 estac. ,"San Rafael, Quito",USD 112.000
 345 m²  215 m²  3 hab.  2 baños  3 estac. ,"Tumbaco, Quito",USD 190.000
 360 m²  360 m²  7 hab.  3 baños  2 estac. ,"Sur de Quito, Quito",USD 115.000
 140 m²  165 m²  3 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 175.000
 174 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 190.000
 139 m²  115 m²  3 hab.  2 baños  2 estac. ,"Calderón, Quito",USD 65.000
 260 m²  235 m²  3 hab.  2 baños  2 estac. ,"Calderón, Quito",USD 167.000
 814 m²  173 m²  3 hab.  3 baños  6 estac. ,"Tumbaco, Quito",USD 270.000
 244 m²  160 m²  4 hab.  3 baños  2 estac. ,"Nayón - Tanda, Quito",USD 218.000
 150 m²  120 m²  3 hab.  2 baños  1 estac. ,"Los Chillos, Quito",USD 112.500
 613 m²  359 m²  3 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 380.000
 230 m²  230 m²  3 baños  2 estac. ,"Carcelén, Quito",USD 168.000
 3843 m²  1245 m²  6 hab.  10 baños  10 estac. ,"Monteserrín, Quito",USD 1.800.000
 687 m²  290 m²  4 hab.  4 baños  5 estac. ,"Los Chillos, Quito",USD 310.000
 193 m²  193 m²  4 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 189.000
 301 m²  207 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 245.000
 281 m²  187 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 209.000
 200 m²  190 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 150.000
 380 m²  193 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 245.000
 1000 m²  308 m²  3 hab.  2 baños  6 estac. ,"Conocoto, Quito",USD 240.000
 600 m²  260 m²  4 hab.  4 baños  2 estac. ,"Puembo, Quito",USD 328.000
 119 m²  95 m²  3 hab.  2 baños  1 estac. ,"San Carlos, Quito",USD 89.990
 341 m²  341 m²  3 hab.  3 baños  2 estac. ,"Centro Norte, Quito",USD 260.000
 800 m²  400 m²  4 hab.  4 baños  2 estac. ,"El Condado, Quito",USD 397.000
 208 m²  136 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 95.000
 165 m²  165 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 220.000
 426 m²  323 m²  6 hab.  7 baños  4 estac. ,"Lumbisí, Quito",USD 389.500
 400 m²  185 m²  3 baños  2 estac. ,"Puembo, Quito",USD 265.000
 175 m²  105 m²  3 hab.  2 baños  1 estac. ,"Norte de Quito, Quito",USD 79.990
 2611 m²  850 m²  5 hab.  5 baños  5 estac. ,"Tumbaco, Quito",USD 2.200.000
 380 m²  180 m²  3 hab.  2 baños  4 estac. ,"Calderón, Quito",USD 115.000
 380 m²  380 m²  4 hab.  3 baños  3 estac. ,"Sangolqui, Quito",USD 340.000
 385 m²  320 m²  3 hab.  3 baños  4 estac. ,"Nayón - Tanda, Quito",USD 520.000
 200 m²  200 m²  3 hab.  2 baños  4 estac. ,"Cumbayá, Quito",USD 256.000
 340 m²  288 m²  7 hab.  5 baños  1 estac. ,"Conocoto, Quito",USD 160.000
 186 m²  186 m²  3 hab.  2 baños  2 estac. ,"Carapungo, Quito",USD 89.000
 948 m²  420 m²  3 hab.  3 baños  3 estac. ,"Cumbayá, Quito",USD 750.000
 191 m²  191 m²  3 hab.  2 baños  1 estac. ,"El Pinar, Quito",USD 130.000
 148 m²  104 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 97.000
 2100 m²  108 m²  3 hab.  2 baños  5 estac. ,"Sangolqui, Quito",USD 250.000
 3048 m²  990 m²  5 hab.  6 baños  5 estac. ,"Tumbaco, Quito",USD 1.600.000
 1750 m²  440 m²  4 hab.  4 baños  2 estac. ,"Tumbaco, Quito",USD 458.000
 850 m²  367 m²  3 hab.  4 baños  2 estac. ,"Tumbaco, Quito",USD 640.000
 450 m²  430 m²  3 hab.  4 baños  5 estac. ,"Miravalle, Quito",USD 530.000
 1800 m²  700 m²  4 hab.  4 baños ,"Nayón - Tanda, Quito",USD 1.620.000
 890 m²  548 m²  3 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 695.000
 505 m²  379 m²  3 hab.  2 baños  2 estac. ,"Ponceano, Quito",USD 164.000
 300 m²  240 m²  3 hab.  3 baños  2 estac. ,"San Rafael, Quito",USD 105.000
 163 m²  163 m²  2 hab.  2 baños  2 estac. ,"Checa, Quito",USD 320.000
 164 m²  145 m²  3 hab.  2 baños  2 estac. ,"Pomasqui, Quito",USD 135.000
 800 m²  460 m²  11 hab.  11 baños  3 estac. ,"Los Chillos, Quito",USD 360.000
 330 m²  160 m²  4 hab.  4 baños  3 estac. ,"Los Chillos, Quito",USD 145.000
 130 m²  96 m²  3 hab.  2 baños  1 estac. ,"Los Chillos, Quito",USD 86.900
 116 m²  3 hab.  2 baños  2 estac. ,"Sangolqui, Quito",USD 85.000
 383 m²  222 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 235.000
 176 m²  114 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 114.900
 315 m²  233 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 279.000
 580 m²  265 m²  4 hab.  4 baños  4 estac. ,"Nayón - Tanda, Quito",USD 365.000
 980 m²  380 m²  4 hab.  4 baños  2 estac. ,"Tumbaco, Quito",USD 680.000
 400 m²  314 m²  4 hab.  3 baños  4 estac. ,"Carcelén, Quito",USD 172.000
 800 m²  269 m²  3 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 399.900
 600 m²  300 m²  4 hab.  3 baños  4 estac. ,"Tumbaco, Quito",USD 250.000
 223 m²  183 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 225.000
 500 m²  500 m²  4 hab.  4 baños  4 estac. ,"Puembo, Quito",USD 675.000
 240 m²  240 m²  4 hab.  3 baños  1 estac. ,"Norte de Quito, Quito",USD 124.990
 194 m²  156 m²  4 hab.  3 baños  2 estac. ,"El Inca, Quito",USD 99.000
 505 m²  204 m²  4 hab.  2 baños  4 estac. ,"Sangolqui, Quito",USD 154.990
 181 m²  181 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 285.000
 301 m²  207 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 245.000
 2600 m²  600 m²  4 hab.  4 baños  4 estac. ,"Tumbaco, Quito",USD 1.700.000
 87 m²  87 m²  3 hab.  2 baños  1 estac. ,"La Armenia, Quito",USD 82.000
 138 m²  138 m²  2 hab.  2 estac. ,"Pomasqui, Quito",USD 106.000
 120 m²  120 m²  3 hab.  2 baños  1 estac. ,"Carcelén, Quito",USD 130.000
 230 m²  230 m²  3 hab.  2 baños ,"Cumbayá, Quito",USD 290.000
 571 m²  570 m²  4 hab.  4 baños  4 estac. ,"Norte de Quito, Quito",USD 335.000
 160 m²  160 m²  3 hab.  2 baños  1 estac. ,"Conocoto, Quito",USD 114.500
 270 m²  240 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 265.000
 310 m²  285 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 278.000
 550 m²  550 m²  3 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 770.000
 162 m²  148 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 139.000
 309 m²  225 m²  4 hab.  4 baños  2 estac. ,"Tumbaco, Quito",USD 198.000
 166 m²  134 m²  4 hab.  3 baños  2 estac. ,"Conocoto, Quito",USD 105.000
 180 m²  180 m²  3 hab.  2 baños  2 estac. ,"Conocoto, Quito",USD 118.000
 186 m²  141 m²  3 hab.  2 baños ,"Conocoto, Quito",USD 99.000
 500 m²  325 m²  3 hab.  3 baños  3 estac. ,"Tumbaco, Quito",USD 395.000
 142 m²  130 m²  4 hab.  3 baños  1 estac. ,"El Pinar, Quito",USD 115.000
 210 m²  160 m²  2 baños  2 estac. ,"Los Chillos, Quito",USD 129.000
 114 m²  168 m²  3 hab.  2 baños  2 estac. ,"El Inca, Quito",USD 114.000
 260 m²  210 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 239.000
 278 m²  248 m²  4 hab.  4 baños  2 estac. ,"Monteserrín, Quito",USD 219.000
 452 m²  337 m²  2 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 286.000
 350 m²  350 m²  2 estac. ,"Lumbisí, Quito",USD 320.000
 175 m²  123 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 112.000
 390 m²  390 m²  12 hab.  7 baños  4 estac. ,"Sur de Quito, Quito",USD 125.000
 570 m²  300 m²  4 hab.  3 baños  3 estac. ,"Los Chillos, Quito",USD 225.000
 280 m²  200 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 215.000
 500 m²  350 m²  3 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 465.000
 300 m²  293 m²  3 hab.  2 estac. ,"Cumbayá, Quito",USD 380.000
 198 m²  177 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 115.000
 122 m²  122 m²  3 hab.  2 baños  1 estac. ,"Los Chillos, Quito",USD 99.000
 240 m²  175 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 220.000
 1477 m²  485 m²  3 hab.  3 baños ,"La Armenia, Quito",USD 298.000
 270 m²  209 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 275.000
 150 m²  150 m²  2 hab.  2 baños  2 estac. ,"Checa, Quito",USD 245.000
 193 m²  165 m²  3 hab.  2 baños  3 estac. ,"Los Chillos, Quito",USD 139.000
 147 m²  104 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 86.400
 230 m²  210 m²  3 baños  2 estac. ,"Cumbayá, Quito",USD 230.000
 289 m²  147 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 180.000
 424 m²  321 m²  4 hab.  4 baños  3 estac. ,"Los Chillos, Quito",USD 550.000
 320 m²  320 m²  3 hab.  3 baños  4 estac. ,"Tumbaco, Quito",USD 490.000
 122 m²  122 m²  2 hab.  1 baño  1 estac. ,"Calderón, Quito",USD 45.900
 285 m²  218 m²  3 hab.  4 baños  2 estac. ,"Miravalle, Quito",USD 315.000
 135 m²  80 m²  3 hab.  1 baño  1 estac. ,"Mitad del Mundo, Quito",USD 70.000
 220 m²  220 m²  3 hab.  2 baños  1 estac. ,"Norte de Quito, Quito",USD 95.000
 1200 m²  650 m²  5 baños  4 estac. ,"Cumbayá, Quito",USD 1.150.000
 235 m²  170 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 212.000
 500 m²  185 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 260.000
 742 m²  533 m²  4 baños  4 estac. ,"Cumbayá, Quito",USD 820.000
 292 m²  194 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 235.000
 85 m²  85 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 55.000
 1000 m²  400 m²  3 hab.  3 baños  4 estac. ,"La Armenia, Quito",USD 390.000
 125 m²  100 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 55.000
 340 m²  300 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 360.000
 104 m²  104 m²  3 hab.  2 baños ,"Conocoto, Quito",USD 89.000
 335 m²  320 m²  4 estac. ,"El Condado, Quito",USD 109.000
 382 m²  305 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 235.000
 610 m²  478 m²  4 hab.  5 baños  2 estac. ,"Nayón - Tanda, Quito",USD 390.000
 1600 m²  1000 m²  4 hab.  4 baños  8 estac. ,"Cumbayá, Quito",USD 2.200.000
 167 m²  130 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 99.900
 163 m²  163 m²  3 hab.  2 baños  2 estac. ,"El Inca, Quito",USD 105.000
 1724 m²  585 m²  8 hab.  8 baños  2 estac. ,"San Rafael, Quito",USD 690.000
 188 m²  188 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 110.000
 155 m²  117 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 115.000
 1500 m²  581 m²  4 hab.  5 baños  5 estac. ,"Nayón - Tanda, Quito",USD 850.000
 400 m²  240 m²  3 hab.  4 baños  2 estac. ,"Tumbaco, Quito",USD 300.000
 830 m²  500 m²  4 hab.  5 baños  3 estac. ,"Tumbaco, Quito",USD 390.000
 167 m²  155 m²  4 hab.  2 baños  1 estac. ,"El Pinar, Quito",USD 110.000
 954 m²  314 m²  3 hab.  3 baños ,"Nayón - Tanda, Quito",USD 540.000
 1036 m²  705 m²  3 hab.  5 baños  6 estac. ,"Puembo, Quito",USD 1.100.000
 108 m²  86 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 92.000
 168 m²  137 m²  3 hab.  3 baños  2 estac. ,"Carcelén, Quito",USD 117.000
 120 m²  120 m²  3 hab.  1 baño  2 estac. ,"Sangolqui, Quito",USD 117.000
 180 m²  180 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 230.000
 261 m²  161 m²  2 baños  2 estac. ,"La Armenia, Quito",USD 125.000
 222 m²  222 m²  3 hab.  3 baños  2 estac. ,"La Armenia, Quito",USD 160.000
 750 m²  750 m²  4 hab.  5 baños  6 estac. ,"Puembo, Quito",USD 3.000.000
 288 m²  246 m²  4 hab.  3 baños  3 estac. ,"Monteserrín, Quito",USD 257.000
 471 m²  244 m²  3 hab.  2 baños  2 estac. ,"Nayón - Tanda, Quito",USD 270.000
 346 m²  270 m²  3 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 350.000
 136 m²  99 m²  3 hab.  2 baños  2 estac. ,"Mitad del Mundo, Quito",USD 90.000
 124 m²  124 m²  3 hab.  2 baños  1 estac. ,"Carcelén, Quito",USD 118.000
 250 m²  178 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 185.000
 96 m²  96 m²  3 hab.  1 baño ,"Conocoto, Quito",USD 68.000
 218 m²  198 m²  5 hab.  2 baños  4 estac. ,"El Condado, Quito",USD 110.000
 717 m²  717 m²  6 hab.  7 baños  6 estac. ,"Centro Norte, Quito",USD 450.000
 260 m²  190 m²  4 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 230.000
 225 m²  185 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 282.000
 422 m²  336 m²  3 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 430.000
 450 m²  150 m²  3 hab.  2 baños  5 estac. ,"Yaruqui, Quito",USD 115.000
 612 m²  612 m²  10 hab.  6 baños  4 estac. ,"Quitumbe, Quito",USD 180.000
 315 m²  315 m²  8 hab.  5 baños ,"Sur de Quito, Quito",USD 120.000
 176 m²  138 m²  3 hab.  3 baños  2 estac. ,"Calderón, Quito",USD 124.900
 268 m²  268 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 360.000
 205 m²  205 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 255.000
 220 m²  220 m²  3 hab.  3 baños  2 estac. ,"Nayón - Tanda, Quito",USD 260.000
 256 m²  204 m²  3 hab.  1 baño  1 estac. ,"Conocoto, Quito",USD 77.900
 193 m²  193 m²  4 hab.  3 baños  2 estac. ,"El Pinar, Quito",USD 180.000
 350 m²  300 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 300.000
 918 m²  918 m²  4 hab.  2 baños  8 estac. ,"Sur de Quito, Quito",USD 298.000
 380 m²  280 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 339.990
 289 m²  289 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 250.000
 645 m²  450 m²  3 hab.  3 baños  3 estac. ,"Cumbayá, Quito",USD 780.000
 836 m²  836 m²  3 hab.  3 baños  8 estac. ,"Cumbayá, Quito",USD 1.300.000
 203 m²  140 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 130.000
 159 m²  59 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 84.000
 400 m²  260 m²  3 hab.  3 baños  10 estac. ,"Tumbaco, Quito",USD 245.000
 206 m²  182 m²  4 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 140.000
 1210 m²  540 m²  4 hab.  5 baños  2 estac. ,"Monteserrín, Quito",USD 963.000
 711 m²  542 m²  4 hab.  4 baños  6 estac. ,"Nayón - Tanda, Quito",USD 680.000
 142 m²  142 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 85.900
 1350 m²  300 m²  3 hab.  2 baños  2 estac. ,"Pifo, Quito",USD 380.000
 200 m²  180 m²  4 hab.  4 baños  1 estac. ,"Carcelén, Quito",USD 82.000
 1100 m²  482 m²  3 hab.  3 baños  6 estac. ,"Cumbayá, Quito",USD 800.000
 600 m²  350 m²  5 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 325.000
 290 m²  147 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 175.000
 215 m²  180 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 189.000
 589 m²  98 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 95.000
 140 m²  117 m²  2 baños  2 estac. ,"Conocoto, Quito",USD 70.000
 330 m²  250 m²  4 hab.  3 baños  3 estac. ,"Sangolqui, Quito",USD 189.000
 269 m²  204 m²  2 baños  2 estac. ,"Tumbaco, Quito",USD 245.000
 132 m²  102 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 75.000
 200 m²  200 m²  3 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 160.000
 600 m²  400 m²  5 hab.  6 baños  4 estac. ,"Los Chillos, Quito",USD 379.000
 165 m²  165 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 197.000
 130 m²  104 m²  3 hab.  1 baño  1 estac. ,"Norte de Quito, Quito",USD 72.000
 750 m²  750 m²  4 hab.  5 baños  6 estac. ,"El Condado, Quito",USD 950.000
 308 m²  243 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 510.000
 107 m²  107 m²  3 hab.  2 baños  1 estac. ,"Sur de Quito, Quito",USD 87.000
 136 m²  136 m²  4 hab.  3 baños  1 estac. ,"Amagasí, Quito",USD 120.000
 202 m²  145 m²  3 hab.  2 baños  1 estac. ,"Mitad del Mundo, Quito",USD 125.000
 360 m²  360 m²  4 hab.  4 baños  4 estac. ,"Tumbaco, Quito",USD 500.000
 479 m²  301 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 375.000
 280 m²  5 hab.  5 baños  5 estac. ,"Norte de Quito, Quito",USD 290.000
 415 m²  319 m²  3 hab.  4 baños  3 estac. ,"Tumbaco, Quito",USD 420.000
 250 m²  170 m²  3 hab.  2 baños  4 estac. ,"Sur de Quito, Quito",USD 78.000
 288 m²  238 m²  3 hab.  2 baños ,"La Armenia, Quito",USD 240.000
 613 m²  400 m²  3 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 360.000
 360 m²  360 m²  3 hab.  4 baños  3 estac. ,"Quito Tenis, Quito",USD 480.000
 216 m²  216 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 230.000
 250 m²  210 m²  3 hab.  3 baños  2 estac. ,"Monteserrín, Quito",USD 260.000
 230 m²  4 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 195.000
 249 m²  161 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 199.000
 225 m²  225 m²  2 baños  2 estac. ,"San Rafael, Quito",USD 119.000
 353 m²  218 m²  4 hab.  3 baños  3 estac. ,"La Armenia, Quito",USD 165.000
 350 m²  250 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 250.000
 185 m²  170 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 108.000
 1100 m²  700 m²  4 hab.  5 baños  4 estac. ,"Cumbayá, Quito",USD 1.400.000
 180 m²  180 m²  4 hab.  4 baños  1 estac. ,"La Armenia, Quito",USD 140.000
 195 m²  195 m²  6 hab.  3 baños  3 estac. ,"Sur de Quito, Quito",USD 120.000
 2500 m²  1000 m²  5 hab.  5 baños  4 estac. ,"Tumbaco, Quito",USD 2.200.000
 141 m²  101 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 85.300
 341 m²  230 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 268.000
 92 m²  92 m²  3 hab.  2 baños  1 estac. ,"Carcelén, Quito",USD 95.000
 100 m²  150 m²  4 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 25.000
 167 m²  130 m²  3 hab.  2 baños  2 estac. ,"Vía Simón Bolivar, Quito",USD 85.000
 1120 m²  420 m²  5 hab.  5 baños  3 estac. ,"Cumbayá, Quito",USD 950.000
 2583 m²  583 m²  4 hab.  5 baños  4 estac. ,"Tumbaco, Quito",USD 1.400.000
 169 m²  144 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 135.000
 870 m²  254 m²  4 hab.  4 baños  2 estac. ,"Miravalle, Quito",USD 550.000
 120 m²  120 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 120.000
 100 m²  100 m²  3 hab.  3 baños  1 estac. ,"Calderón, Quito",USD 84.000
 80 m²  80 m²  2 hab.  3 baños  1 estac. ,"Mitad del Mundo, Quito",USD 68.000
 400 m²  400 m²  9 baños ,"Centro de Quito, Quito",USD 290.000
 205 m²  205 m²  3 hab.  4 baños  3 estac. ,"Cumbayá, Quito",USD 300.000
 235 m²  200 m²  3 hab.  4 baños  2 estac. ,"El Condado, Quito",USD 230.000
 365 m²  365 m²  8 hab.  7 baños ,"Sur de Quito, Quito",USD 99.000
 420 m²  390 m²  4 hab.  4 baños  3 estac. ,"Cumbayá, Quito",USD 450.000
 200 m²  170 m²  4 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 78.000
