features,location,price
 207 m²  135 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 132.000
 1380 m²  500 m²  3 hab.  3 baños  3 estac. ,"Puembo, Quito",USD 870.000
 1100 m²  660 m²  5 hab.  6 baños  6 estac. ,"Cumbayá, Quito",USD 1.600.000
 220 m²  220 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 230.000
 181 m²  181 m²  3 hab.  2 baños  2 estac. ,"El Inca, Quito",USD 99.000
 381 m²  307 m²  3 hab.  3 baños  2 estac. ,"San Juan de Cumbayá, Quito",USD 380.000
 176 m²  176 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 175.000
 72 m²  54 m²  2 hab.  1 baño  1 estac. ,"Sur de Quito, Quito",USD 35.000
 132 m²  132 m²  3 hab.  2 baños ,"Los Chillos, Quito",USD 89.000
 546 m²  313 m²  2 hab.  3 baños  4 estac. ,"Tumbaco, Quito",USD 350.000
 926 m²  425 m²  4 hab.  4 baños ,"San Rafael, Quito",USD 250.000
 158 m²  120 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 115.000
 165 m²  165 m²  3 hab.  3 baños ,"Tumbaco, Quito",USD 153.000
 200 m²  149 m²  3 hab.  3 baños ,"Sangolqui, Quito",USD 130.000
 170 m²  132 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 120.000
 150 m²  150 m²  3 hab.  2 baños ,"Tumbaco, Quito",USD 135.000
 562 m²  562 m²  3 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 420.000
 250 m²  250 m²  6 hab.  4 baños ,"Sur de Quito, Quito",USD 165.000
 282 m²  232 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 233.000
 100 m²  100 m²  3 hab.  2 baños ,"Carcelén, Quito",USD 132.000
 125 m²  125 m²  3 hab.  2 baños ,"Los Chillos, Quito",USD 110.000
